"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_sqrt_max"
"ruber","G.ruber",18,"B",19,72614.6676,11.1929222134648,269.4710886162,99380.052,11.506511443719,315.230631813847,120416.027684211,11.6748146040231,344.953728421462,114343.6392,11.6469635721932,338.147363142166,136672.533,11.8244290075869,369.608032500345,165426.84972,12.0161621908148,406.714486788846,173292.7176,12.0627374528935,416.284419117507
"sacculifer","G.sacculifer",18,"A",17,44483.06312,10.7028637916613,210.910083021178,69875.66998,11.1544727986762,264.340065029878,97360.1671829412,11.4194875056943,307.038600412599,99513.52116,11.5080488049696,315.457637663126,128182.0635,11.7612069033839,358.025227463094,145207.07036,11.8841650508111,380.891313083759,162889.893,12.0008297484664,403.596200428101
"sacculifer","G.sacculifer",18,"B",33,96045.1956,11.4725741471643,309.911593200384,189154.9188,12.1503216344812,434.919439436777,226776.488181818,12.2798374892552,470.159263532617,218775.8988,12.2958031917261,467.734859509103,257549.4288,12.4589669371695,507.493279561414,354935.22336,12.7796655417711,595.760671223011,452402.226,13.0223269436364,672.6085235856
"siphonifera","G.siphonifera",18,"A",5,82785.81403,11.3240119975549,287.725240516017,91081.46047,11.4195095550733,301.797051791432,141859.88408,11.7736493993227,368.308279262697,108629.1596,11.5956951550451,329.589380290082,189306.0405,12.1511202463555,435.093140028661,227858.76474,12.3325520833389,476.887894955565,237496.9458,12.3779100425847,487.336583687291
"siphonifera","G.siphonifera",18,"B",8,111414.8232,11.6210156604599,333.788590577929,126370.0899,11.7469528437558,355.484177806329,162808.05555,11.9537290743163,398.676961632217,137847.3876,11.8337287244414,371.261920728066,180756.2061,12.087681327717,423.271999442609,254387.97162,12.4460235543568,504.294490107029,260764.47,12.4713728650913,510.651025652549
"truncatulinoides","G.truncatulinoides",18,"A",6,39795.23581,10.5915024808412,199.487432711938,40644.841975,10.6125847273411,201.603514219061,92186.782265,11.1671013759495,283.820511861024,47967.955385,10.7685207152625,218.483011197897,132070.63155,11.7043266765749,356.444624732338,203780.8915,12.2152962826793,450.381155242511,219080.8859,12.2971962826178,468.060771588477
"truncatulinoides","G.truncatulinoides",18,"B",23,118124.4744,11.6794942152623,343.69241248535,171848.2788,12.0543387405698,414.542914265267,214036.542,12.2298882579338,457.582980762714,201602.3868,12.214052654395,449.001544318057,247182.0858,12.4175410143757,497.131905434322,315840.18924,12.6625067191876,561.929444575151,386317.4868,12.8644148150386,621.544436705856
"conglobatus","G.conglobatus",29,"A",8,53453.2775,10.886563233563,231.199648572397,93802.81325,11.4455455340602,306.016285812422,177610.6554875,11.9026880449122,403.05760395773,150758.7459,11.9099309297306,386.97231923726,238691.490275,12.3770555296989,487.8303353524,345881.609175,12.7450221782694,586.841327161694,378533.1895,12.8440590349374,615.250509548753
"conglobatus","G.conglobatus",29,"B",9,152644.5648,11.9358673918953,390.697536209278,212365.7856,12.2660654706286,460.831623914852,304641.24,12.5481630368506,541.293317337452,274536.5616,12.5228397245049,523.962366587525,426322.4508,12.9629512656875,652.933726192789,483247.9836,13.086277695958,694.813283922874,508009.7916,13.138256001178,712.74805618816
"dutertrei","N.dutertrei",29,"A",4,102129.0122,11.5339921185387,319.576301061265,141082.907525,11.842357793737,374.279861023138,184291.90445,12.0379410199513,419.969440585455,158769.5088,11.9747700807952,398.415221696162,201978.505725,12.1703533070095,444.104801258479,294395.371545,12.5686561011429,539.597774562281,317499.588,12.6682317996762,563.471017888232
