"area","diam.max","species","sample","dataset","datasetAB","area_log"
81106.50982,361.6821581,"glutinata",31,"resample","A",11.3035185059327
34047.38514,228.7780447,"glutinata",31,"resample","A",10.4355085139151
37083.4577,227.0407841,"glutinata",31,"resample","A",10.5209262650626
32677.20953,232.3055341,"glutinata",31,"resample","A",10.3944331576293
42110.7207,250.0178443,"glutinata",31,"resample","A",10.6480576357091
41052.69542,246.5838519,"glutinata",31,"resample","A",10.6226117746007
34119.67258,219.3412373,"glutinata",31,"resample","A",10.4376294054283
37513.89656,229.931308,"glutinata",31,"resample","A",10.5324667182459
47210.27115,271.6413982,"glutinata",31,"resample","A",10.7623667570104
45311.0829,275.3835473,"glutinata",31,"resample","A",10.721306937177
30308.15292,218.2825728,"glutinata",31,"resample","A",10.3191720285711
45258.51022,276.9362563,"glutinata",31,"resample","A",10.7201460026051
43937.62151,270.5809222,"glutinata",31,"resample","A",10.6905262140684
27643.37494,208.1974515,"glutinata",31,"resample","A",10.2271413739008
53334.98896,291.096738,"glutinata",31,"resample","A",10.884347848066
26884.3568,205.0808329,"glutinata",31,"resample","A",10.1992998648363
31717.08327,226.9168397,"glutinata",31,"resample","A",10.3646107191249
28293.04569,207.8208825,"glutinata",31,"resample","A",10.2503713180978
30002.04859,218.1990152,"glutinata",31,"resample","A",10.3090209446462
21627.93437,178.2847256,"glutinata",31,"resample","A",9.98174101600497
25878.32512,205.0744877,"glutinata",31,"resample","A",10.1611610293645
27782.35541,215.5149129,"glutinata",31,"resample","A",10.232156400691
29475.27358,216.4086673,"glutinata",31,"resample","A",10.2913070071267
40907.49769,249.5960381,"glutinata",31,"resample","A",10.6190686428342
27307.85578,198.2550281,"glutinata",31,"resample","A",10.214929697288
25755.67903,195.5747825,"glutinata",31,"resample","A",10.1564104266298
24991.6542,199.5035646,"glutinata",31,"resample","A",10.126297216116
28055.79587,215.5708811,"glutinata",31,"resample","A",10.241950515988
22775.9822,181.5866268,"glutinata",31,"resample","A",10.0334618474332
27597.38098,212.3429498,"glutinata",31,"resample","A",10.2254761551737
34891.80748,232.3800132,"glutinata",31,"resample","A",10.4600073379407
29903.5296,216.9051511,"glutinata",31,"resample","A",10.3057317992345
27687.8576,213.9418587,"glutinata",31,"resample","A",10.2287492422797
26839.38792,202.7673263,"glutinata",31,"resample","A",10.1976257860566
31437.61103,226.9168397,"glutinata",31,"resample","A",10.3557602586052
24879.06107,196.6921567,"glutinata",31,"resample","A",10.121781807797
22267.30251,188.459814,"glutinata",31,"resample","A",10.0108746262872
20972.48149,182.49781,"glutinata",31,"resample","A",9.95096645213572
25727.53074,190.9241383,"glutinata",31,"resample","A",10.15531693254
31260.67896,227.8982305,"glutinata",31,"resample","A",10.3501163235093
20266.76382,177.7595521,"glutinata",31,"resample","A",9.91673757302466
29119.39886,202.534172,"glutinata",31,"resample","A",10.2791598585536
28745.42881,213.5656142,"glutinata",31,"resample","A",10.2662340356709
36452.0266,247.9837821,"glutinata",31,"resample","A",10.5037523353425
29203.8437,204.6229975,"glutinata",31,"resample","A",10.2820556131551
28406.92194,220.4620662,"glutinata",44,"resample","A",10.2543881247336
67771.12697,331.1582659,"glutinata",44,"resample","A",11.1238915273264
38643.39816,256.6461163,"glutinata",44,"resample","A",10.562131228559
26960.21418,211.1107963,"glutinata",44,"resample","A",10.2021175093567
30458.54712,225.8408503,"glutinata",44,"resample","A",10.324121927347
41895.94361,258.4287715,"glutinata",44,"resample","A",10.6429442900065
48923.17374,280.9985568,"glutinata",44,"resample","A",10.798006463821
38862.44194,254.0025748,"glutinata",44,"resample","A",10.5677835603807
52607.43919,305.0915792,"glutinata",44,"resample","A",10.8706128181933
32912.60157,223.9921592,"glutinata",44,"resample","A",10.4016108898613
32968.63603,230.666995,"glutinata",44,"resample","A",10.4033119651767
50043.86285,273.0991282,"glutinata",44,"resample","A",10.8206551568453
26952.57312,221.9818373,"glutinata",44,"resample","A",10.2018340493305
31697.6727,226.6289314,"glutinata",44,"resample","A",10.3639985407665
33558.27132,236.9982577,"glutinata",44,"resample","A",10.4210386491233
36241.55764,246.2223799,"glutinata",44,"resample","A",10.4979617404695
28427.29811,222.9749856,"glutinata",44,"resample","A",10.2551051635477
30231.86228,228.7515397,"glutinata",44,"resample","A",10.316651689581
25434.54878,203.1455217,"glutinata",44,"resample","A",10.1438637169776
31394.57723,228.629028,"glutinata",44,"resample","A",10.3543904573005
33447.47592,235.9211097,"glutinata",44,"resample","A",10.4177316044133
30811.30949,223.2632275,"glutinata",44,"resample","A",10.3356370927972
35071.20162,238.2870803,"glutinata",44,"resample","A",10.4651356060203
31985.48604,233.2064743,"glutinata",44,"resample","A",10.3730375176418
43757.81574,273.2576304,"glutinata",44,"resample","A",10.6864255213163
40684.83526,266.7295557,"glutinata",44,"resample","A",10.6136107039644
29593.83359,213.0712805,"glutinata",44,"resample","A",10.2953212939474
30750.18099,226.1648588,"glutinata",44,"resample","A",10.333651159071
30838.05321,231.8811778,"glutinata",44,"resample","A",10.3365047001984
51518.58784,285.369748,"glutinata",44,"resample","A",10.8496979504647
30888.99362,219.8691725,"glutinata",44,"resample","A",10.3381552059063
27427.59248,204.0930588,"glutinata",44,"resample","A",10.2193048104843
27078.65064,205.2659008,"glutinata",44,"resample","A",10.2065008971289
30468.7352,225.2705941,"glutinata",44,"resample","A",10.3244563614365
37651.3336,249.5820745,"glutinata",44,"resample","A",10.5361236535835
41192.96589,243.3819777,"glutinata",44,"resample","A",10.6260227899362
28291.0325,212.0257425,"glutinata",44,"resample","A",10.250300160625
25244.79573,191.5392551,"glutinata",44,"resample","A",10.136375303757
26522.12662,189.6751631,"glutinata",44,"resample","A",10.1857346303759
