"area","diam.max","area_max","area_sqrt","area_sqrt_max","area_log","area_log_max","total_ind","species","sspname","sample","dataset","datasetAB"
35648.12381,231.5471113,147456.9197,188.807107413889,384.001197524174,10.481451796407,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
46317.42809,275.1336979,147456.9197,215.214841704749,384.001197524174,10.743273585878,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
50338.68563,271.0367438,147456.9197,224.362843692979,384.001197524174,10.8265291584954,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
46155.28061,267.013572,147456.9197,214.837800700901,384.001197524174,10.7397666561371,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
28416.34613,208.8678527,147456.9197,168.571486705196,384.001197524174,10.2547198265313,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
28335.27239,202.6421715,147456.9197,168.330842064073,384.001197524174,10.2518626817567,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
30199.96843,224.3447754,147456.9197,173.781381137336,384.001197524174,10.3155961579982,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
30556.69289,207.7001142,147456.9197,174.804727882286,384.001197524174,10.3273390204743,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
33264.55583,224.2182567,147456.9197,182.385733625193,384.001197524174,10.4122477196143,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
35291.39935,222.0929172,147456.9197,187.860052565733,384.001197524174,10.4713945687593,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
35964.31139,229.2245436,147456.9197,189.642588544873,384.001197524174,10.4902823754478,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
37642.53783,238.1238633,147456.9197,194.016849345617,384.001197524174,10.5358900151778,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
52389.85127,274.440349,147456.9197,228.888294305323,384.001197524174,10.8664681734977,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
46633.61568,260.7770192,147456.9197,215.948178228018,384.001197524174,10.7500769265776,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
35372.47309,225.8215732,147456.9197,188.075711058074,384.001197524174,10.4736892003093,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
56621.90054,293.9392548,147456.9197,237.953568033766,384.001197524174,10.9441511246868,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
72309.66937,324.2724807,147456.9197,268.904572980825,384.001197524174,11.1887131387619,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
62929.43757,314.834489,147456.9197,250.857404853833,384.001197524174,11.0497693390903,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
52324.99228,281.8727832,147456.9197,228.746567799388,384.001197524174,10.8652293997748,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
63602.34961,311.5469185,147456.9197,252.195062620187,384.001197524174,11.0604056921993,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
24411.30334,191.535552,147456.9197,156.241170438524,384.001197524174,10.1028015556527,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
54059.97033,285.8853582,147456.9197,232.508000572023,384.001197524174,10.8978492709957,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
85800.33983,362.5197012,147456.9197,292.916950397207,384.001197524174,11.3597782461908,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
52868.18634,287.6382319,147456.9197,229.930829468342,384.001197524174,10.8755570444989,11.9012913422708,57,"inflata","G.inflata",10,"Re-sampling","A"
