"sample","c22","Lat","Long"
521,0.562620568198995,14.167,-18.58
522,0.722925265112625,14.167,-18.58
523,0.590396316715684,14.167,-18.58
524,0.70122246632495,14.167,-18.58
525,0.909327946216848,12.09,-61.2433
526,0.900108186467791,12.09,-61.2433
527,0.969046869939425,12.09,-61.2433
528,0.985849062654557,12.09,-61.2433
529,0.957253369410198,12.09,-61.2433
530,0.99625745542254,12.09,-61.2433
531,0.973418098223805,11.65,-80.13
532,0.570069296636157,9.567,-19.095
533,1,5.67,-19.8517
534,1,5.67,-19.8517
535,1,5.67,-19.8517
536,0.939726569881035,5.385,-21.7517
537,1,5.335,-22.0533
538,0.99787959703682,5.335,-22.0533
539,0.991805229437817,5.335,-22.0533
540,1,5.335,-22.055
541,1,5.335,-22.055
542,0.559004512644457,3.735,-11.3983
543,0.687131442176806,3.735,-11.3983
544,0.871896862290266,3.02,-22.0317
545,0.382208764180301,3.02,-22.0317
546,0.237961387356193,3.02,-22.0317
547,0.722716627545294,1.367,-33.48
548,0.783126376261032,1.367,-33.48
549,0.72806101034092,1.367,-33.48
550,0.724540637057788,1.367,-33.48
551,0.671345891094613,1.367,-33.48
552,0.68740197801908,1.367,-33.48
553,0.327962866394711,-6.5823,10.3186
554,0.304586664628476,-6.5823,10.3186
555,0.31436330938677,-6.5823,10.3186
556,0.294406610938317,-6.5823,10.3186
557,0.410757407418608,-6.5823,10.3186
558,0.481804929588851,-6.5823,10.3186
559,0.59525879414317,-6.5823,10.3186
560,0.435136838613492,-6.5823,10.3186
561,0.516561880294855,-6.5823,10.3186
562,0.350530535084908,-6.5823,10.3186
563,0.526757034758563,-11.7705,11.6819
564,0.64194246293621,-11.7705,11.6819
565,0.601484022122785,-11.7705,11.6819
566,0.708312533685385,-20.104,9.1858
567,0.690688204460929,-20.104,9.1858
568,0.707149205980715,-20.104,9.1858
569,0.666881787464124,-20.104,9.1858
570,0.932880143882529,-21.88,7.1017
571,0.836663459539166,-21.88,7.1017
572,0.671832054886872,1.6583,-10.98
573,0.619542727573719,1.6583,-10.98
574,0.481608092296175,-1.665,-12.4283
575,0.345150243006683,-1.665,-12.4283
576,0.349258965247107,-1.665,-12.4283
577,0.416912577570692,-1.665,-12.4283
578,0.582250987340969,-5.7783,-10.75
579,0.48248878977737,-5.7783,-10.75
580,0.60276907827002,-5.7783,-10.75
581,0.48411348280674,-3.5583,-12.58
582,0.506479369169686,-3.5583,-12.58
583,0.693700811815137,-3.815,-14.8967
584,0.482078301235683,-3.815,-14.8967
585,0.268526612623505,-3.815,-14.8967
586,0.799894777935732,-24.69,7.24
587,0.741570748359104,-24.69,7.24
588,0.679041830301224,-24.0333,5.3067
589,0.792417920606002,-24.0333,5.3067
590,0.980033551064123,-35.2067,-26.765
591,0.927299998988756,-31.6667,-28.6667
592,0.939210244699885,-31.6617,-29.6567
